time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,peak_price,weak_price,grow_price,valley_price,Basis,Upper,Lower,Knn Classifier Line,Average Knn Classifier Line,Volume,Plot,Oversold/Overbought Cross,Histogram,MACD,Signal,Plot,ebb,ebb_highlight,flow,flow_highlight
2024-06-19,65175.32,65727.54,64666,64974.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,68006.793,71575.6959126161,64437.89008738392,66926.17020000001,64142.82114987428,20060.79576,25.1951649574045,NaN,-544.6463338638782,-471.53639473392104,73.10993912995724,-2339.625617647049,42.42809284733449,NaN,37.615754418567334,NaN
2024-06-20,64974.37,66482.94,64559.15,64869.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,67873.292,71692.99189266478,64053.59210733522,66586.91357777778,64183.08494687679,24265.29031,32.020944630084074,NaN,-531.8238740167635,-591.6699033909972,-59.84602937423364,-2446.688000000009,42.026285136855535,NaN,41.813631817390835,NaN
2024-06-21,64869.99,65066.66,63379.35,64143.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,67692.1275,71844.08356242068,63540.17143757932,66282.45255555556,64217.60944127259,25993.56442,33.201251597104076,NaN,-541.7213790245398,-736.9977531549084,-195.2763741303686,-2823.7305294117687,37.77264538505117,NaN,36.81210805513835,NaN
2024-06-22,64143.56,64546.81,63943.82,64262.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,67516.94649999999,71929.20740598661,63104.68559401337,66006.81137777779,64246.15319244714,7308.95542,35.644401246969494,NaN,-510.18751386911265,-833.0107664667594,-322.82325259764673,-3143.0394117647156,40.85697236692049,NaN,35.15013107587683,NaN
2024-06-23,64262.01,64521,63178.32,63210.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,67236.95199999999,71983.53532643107,62490.368673568904,65713.52417777778,64267.580161931524,8224.45447,32.76952959184757,NaN,-527.8708899440379,-982.6618650276941,-454.79097508365624,-3292.687029411776,38.09904883320959,NaN,35.065484615775276,NaN
2024-06-24,63210.01,63369.8,58402,60293.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,66724.725,72104.70971915475,61344.74028084525,65390.277088888906,64280.92907202623,52161.35414,25.062196441345463,NaN,-693.2739988934647,-1321.3834737004872,-628.1094748070225,-3870.0060294117648,26.21058656188991,26.21058656188991,31.429914602633687,NaN
2024-06-25,60293.3,62420,60257.06,61806.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,66259.6255,71651.75837149547,60867.49262850452,64998.7889777778,64283.67178391904,31189.24361,34.37599619715118,NaN,-658.338922169393,-1451.0331275187636,-792.6942053493707,-4458.992411764717,34.7293874537086,NaN,28.778783711365165,NaN
2024-06-26,61806.01,62487.81,60712,60864.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,65762.92199999999,71220.70220405995,60305.14179594003,64501.65640000001,64273.06918824065,22485.66463,24.55262496111679,NaN,-654.7579349775672,-1611.1416240713297,-956.3836890937625,-4789.370205882355,36.66063938162878,NaN,29.237702834087727,NaN
2024-06-27,60864.98,62389.22,60606.63,61706.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,65380.46549999999,70849.63055342306,59911.30044657692,63901.20866666667,64247.85666447584,18344.28631,30.89707693659257,NaN,-555.769493408086,-1651.0955558538699,-1095.326062445784,-5149.814823529407,36.392058310381145,NaN,28.945668337316235,NaN
2024-06-28,61706.46,62225.31,60063,60427.84,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,64936.3345,70498.66184703587,59374.007152964135,63263.9622,64210.411051186325,24821.19255,31.448258344479598,NaN,-536.2044016023278,-1765.5815644486938,-1229.377162846366,-5458.243911764701,34.96866305620996,NaN,28.43711822026569,NaN
